Timestamp,EEG.F7,EEG.F8,dummy
1733043502.723169,-8.41445,-45.238121,0
1733043502.730982,-5.844497,-27.262112,0
1733043502.738795,-8.400191,-28.771772,0
1733043502.746608,-1.219483,-29.767616,0
1733043502.754421,1.343275,-20.516312,0
1733043502.762234,-11.465761,-17.934256,0
1733043502.770047,-23.74968,-30.211706,0
1733043502.77786,-33.972084,-53.23534,0
1733043502.785673,-41.11042,-67.526718,0
1733043502.793486,-37.995464,-64.385345,0
1733043502.801299,-37.44516,-64.320961,0
1733043502.809112,-41.506176,-75.015106,0
1733043502.816925,-34.804668,-72.890854,0
1733043502.824738,-26.060635,-56.936428,0
1733043502.832552,-17.325344,-39.973339,0
1733043502.840365,1.135059,-20.97798,0
1733043502.848178,9.330847,-10.198541,0
1733043502.855991,-2.973868,-19.922188,0
1733043502.863804,-12.704741,-36.808418,0
1733043502.871617,-19.864344,-52.140842,0
1733043502.87943,-39.312172,-74.117935,0
1733043502.887243,-56.179012,-89.925354,0
1733043502.895056,-58.172066,-89.32312,0
1733043502.902869,-54.01543,-88.721489,0
1733043502.910682,-47.813725,-88.632767,0
1733043502.918495,-36.49514,-71.125671,0
1733043502.926308,-14.941723,-38.266853,0
1733043502.934121,11.200912,-6.977818,0
1733043502.941934,25.022018,3.275313,0
1733043502.949747,26.53392,-0.826424,0
1733043502.95756,20.359694,-4.924059,0
1733043502.965373,9.580872,-13.628366,0
1733043502.973186,8.034368,-30.520891,0
1733043502.981,12.637103,-40.224216,0
1733043502.988813,2.378312,-44.794762,0
1733043502.996626,-11.456374,-52.434582,0
1733043503.004439,-10.93261,-58.017532,0
1733043503.012252,-10.921678,-65.131821,0
1733043503.020065,-13.984602,-67.115921,0
1733043503.027878,2.423229,-48.093422,0
1733043503.035691,21.37619,-35.237637,0
1733043503.043504,10.596353,-54.67009,0
1733043503.051317,-11.443475,-71.521576,0
1733043503.05913,-10.407415,-64.790054,0
1733043503.066943,1.898376,-62.676029,0
1733043503.074756,-6.812753,-82.593353,0
1733043503.082569,-24.73671,-99.929222,0
1733043503.090382,-21.125818,-90.095451,0
